Country,Population,Life_Exp_M,Life_Exp_F,Life_Exp,Healthy_Life_Exp,Maternal_mortality,Under_5_Mortality,Neonatal_mortality,Alcohol_Consumption,Family_Planning,Teen_birthrate,Tobacco_M,Tobacco_F,Health,Stunting,Wasting,Overweight,Drinking_Water,Sanitation,Death_ND,Death_Conflicts
Paraguay,6 639,72.2,76.0,74.0,65.2,132,20.5,10.9,9.6,84.1,63.0,28.3,7.9,83,10.9,2.6,11.7,98,89,0,0
Peru,31 377,73.1,78.0,75.5,65.6,68,16.9,8.2,5.2,62.7,65.0,21.5,5.9,89,14.6,0.6,7.2,87,76,0.1,0
Philippines,100 699,65.3,72.0,68.5,61.1,114,28.0,12.6,5.6,51.5,57.0,43.0,8.5,89,30.3,7.9,5.0,92,74,2.5,1.1
Poland,38 612,73.6,81.3,77.5,68.7,3,5.2,3.1,11.5,,14.0,32.4,23.7,74,,,,98,97,0,0.0
Portugal,10 350,78.2,83.9,81.1,71.4,10,3.6,2.0,12.5,,10.5,31.5,13.7,95,,,,100,100,0,0.0
Qatar,2 235,77.4,80.0,78.2,67.7,13,8.0,3.8,1.3,68.9,13.4,,,97,,,,100,98,0.0,0.0
Republic of Korea,50 293,78.8,85.5,82.3,73.2,11,3.4,1.6,10.9,,1.7,49.8,4.2,100,2.5,1.2,7.3,,100,0,0.0
Republic of Moldova,4 069,67.9,76.2,72.1,64.8,23,15.8,11.9,17.4,60.4,26.7,45.7,5.4,80,6.4,1.9,4.9,88,76,0.0,0.0
Romania,19 511,71.4,78.8,75.0,66.8,31,11.1,6.3,12.9,,38.9,36.9,22.7,78,,,,100,79,0,0.0
Russian Federation,143 457,64.7,76.3,70.5,63.3,25,9.6,5.0,14.5,72.4,26.6,59.0,22.8,87,,,,97,72,0,0.5
Rwanda,11 610,60.9,71.1,66.1,56.6,290,41.7,18.7,10.0,65.0,45.0,,,46,37.9,2.2,7.7,76,62,0,0.7
Saint Kitts and Nevis,56.00,,,,,,10.5,6.5,7.0,,,,,60,,,,98,,,
Saint Lucia,185.00,72.6,77.9,75.2,66.1,48,14.3,9.3,10.4,72.4,42.5,,,58,2.5,3.7,6.3,96,91,0.7,
Saint Vincent and the Grenadines,109.00,71.3,75.2,73.2,64.6,45,18.3,11.5,7.2,,70.0,,,35,,,,95,,2.2,
Samoa,193.00,70.9,77.5,74.0,66.6,51,17.5,9.5,,39.4,44.0,41.0,18.9,75,,,,99,92,2.4,
San Marino,32.00,,,,,,2.9,0.7,,,1.3,,,40,,,,,,,
Sao Tome and Principe,190.00,65.6,69.4,67.5,59.1,156,47.3,17.1,6.8,50.3,92.0,,,18,17.2,4.0,2.4,97,35,0.0,
Saudi Arabia,31 540,73.2,76.0,74.5,64.5,12,14.5,7.9,0.2,,17.6,27.9,2.9,99,9.3,11.8,6.1,97,100,0,0
Senegal,15 129,64.6,68.6,66.7,58.3,315,47.2,20.8,0.5,46.3,80.0,23.4,0.7,30,19.4,5.8,1.3,79,48,0,0.1
Serbia,8 851,72.9,78.4,75.6,67.7,17,6.7,4.2,12.9,25.1,22.0,43.6,39.7,47,6.0,3.9,13.9,99,96,0.1,0
Seychelles,96.00,69.1,78.0,73.2,65.5,,13.6,8.6,6.7,,61.2,43.0,8.8,87,7.9,4.3,10.2,96,98,0.0,
Sierra Leone,6 453,49.3,50.8,50.1,44.4,1 360,120.4,34.9,8.2,37.5,125.0,60.0,12.0,64,37.9,9.4,8.9,63,13,0,0.0
Singapore,5 604,80.0,86.1,83.1,73.9,10,2.7,1.0,2.9,,2.7,28.0,5.0,99,,,,100,100,0.0,0.0
Slovakia,5 426,72.9,80.2,76.7,68.1,6,7.3,4.2,12.5,,21.2,39.7,17.6,96,,,,100,99,0.0,0.0
Slovenia,2 068,77.9,83.7,80.8,71.1,9,2.6,1.4,10.9,,4.6,22.3,18.1,75,,,,100,99,0,0.0
Solomon Islands,584.00,67.9,70.8,69.2,62.1,114,28.1,12.2,1.6,60.0,62.0,,,57,32.8,4.3,2.5,81,30,2.0,0.0
Somalia,10 787,53.5,56.6,55.0,47.8,732,136.8,39.7,0.5,,64.0,,,6,25.3,15.0,3.0,,,0.4,35.8
South Africa,54 490,59.3,66.2,62.9,54.5,138,40.5,11.0,11.5,,54.0,31.4,6.5,100,23.9,4.7,,93,66,0,0
South Sudan,12 340,56.1,58.6,57.3,49.9,789,92.6,39.3,,5.6,158.0,,,50,31.1,22.7,6.0,59,7,0.3,21.1
Spain,46 122,80.1,85.5,82.8,72.4,5,4.1,2.8,10.6,,8.4,31.3,27.1,92,,,,100,100,0,0
Sri Lanka,20 715,71.6,78.3,74.9,67.0,30,9.8,5.4,4.5,69.4,20.3,28.4,0.4,71,14.7,21.4,0.6,96,95,0.4,0
Sudan,40 235,62.4,65.9,64.1,55.9,311,70.1,29.8,,30.2,87.0,,,71,38.2,16.3,3.0,,,0.1,7.0
Suriname,543.00,68.6,74.7,71.6,63.1,155,21.3,11.5,6.5,73.2,65.3,,,72,8.8,5.0,4.0,95,79,0.0,0.0
Swaziland,1 287,56.6,61.1,58.9,50.9,389,60.7,14.2,6.4,80.6,87.0,19.0,2.2,56,25.5,2.0,9.0,74,58,0.2,0.0
Sweden,9 779,80.7,84.0,82.4,72.0,4,3.0,1.6,8.7,,5.1,20.4,20.8,92,,,,100,99,0,0.0
Switzerland,8 299,81.3,85.3,83.4,73.1,5,3.9,2.7,10.4,,2.0,26.9,19.7,91,,,,100,100,0,0.0
Syrian Arab Republic,18 502,59.9,69.9,64.5,56.1,68,12.9,7.0,1.4,53.3,54.0,,,63,27.5,11.5,17.9,90,96,0.0,309.1
